Title,Subtitle,Ingredients,Cooking tools,Instructions
Lemon Poppyseed Pound Cake,Prep+Cooking TIme: 1hr 15mins  Yield: 10.5 x 6 inch loaf pan,Dry Ingredients: 2 cups almond flour 1 ¼ cups oat flour 1 tbsp poppy seeds 2 tsp baking powder 1 tsp baking soda 1/2 tsp turmeric Wet Ingredients: ½ cup lemon juice 1 cup pitted Medjool dates 1 cup plant-based milk 1 1/2 tsp vanilla extract 1 tbsp lemon zest Glaze: ⅓ cup date paste (see basics) 2 tsp lemon juice 1 tsp lemon zest ½ tsp vanilla extract Water to thin to a pourable consistency ,10.5 x 6 inch Loaf Pan Mixing bowls Parchment paper ,"Preheat the oven to 350F. DRY INGREDIENTS Combine all the dry ingredients in a bowl and whisk to combine. WET INGREDIENTS In a blender combine dates, plant milk, lemon juice, and vanilla extract. Blend until smooth. Whisk in zest. FINISHING THE BATTER Add the wet ingredients to the dry ingredients. Mix to combine.  Pour batter into a parchment-lined loaf pan. GET IN THE OVEN Bake for 30 minutes and reduce oven temperature to 325F. Continue to bake for an additional 15-20 minutes, or until edges are browned and top it “firm” when pressed gently. PREPARE GLAZE  Combine all the ingredients in a bowl and whisk to combine. FINISHING IT UP! Allow cake to cool in the pan until warm (about 20 minutes). Remove and glaze. Enjoy Combine ingredients in a bowl. Pour over top of your cake, slice, and enjoy! "
Chocolate Blueberry Cake,Prep+Cooking time: 50 minutes  Yeilds: 1 6 inch cake,"CAKE ½ cup blueberry puree ½ cup cocoa powder 1 tbls coconut flour 1 tbls baking powder 1/2 cup date paste 1 ½ tsp vanilla Pinch salt FROSTING 1 cup raw cashews ( soaked for min. 2 hrs) 1/2- 3/4 cup plant milk 1 tsp vanilla 4 soft pitted medjool dates * For nut free option, replace frosting with whipped coconut cream topping. ½ cup puréed blueberries for topping ",Mixing Bowl 6-inch Cake Pan High-Speed Blender ,"Preheat oven to 350 Line 6 inch baking pan with parchment paper PREPARE THE BLUEBERRIES Blend blueberries 1 cup of blueberries into a puree. Divide for batter and optional topping PREPARE THE CAKE BATTER Combine all cake ingredients in a mixing bowl. Pour batter into the pan. Bake for 25-35 minutes. PREPARE THE FROSTING Combine all ingredients in a high speed blender until smooth. CHECKING THE CAKE  This cake is very rich and cannot be tested by inserting a toothpick. It will be ready when you gently press the center and it is not mushy or jiggly. Let cool for 20 minutes before turning it out of the pan.  FROST THE CAKE Allow cake to cool completely. Top with frosting first, then pour some blueberry puree over top. Enjoy! "
Double Chocolate Banana Bread,Prep+Cooking time: 45  minutes  Yeilds: 1 loaf,DRY 2 cups tiger nut flour 5 tbsp cocoa/cacao powder (unsweetened) 1 cup mashed banana (2-3 ripe bananas) ¼ tsp salt ½ tsp baking soda 2 tsp baking powder WET 1/3 cup date syrup 2 tsp vanilla extract 1 tbsp apple cider vinegar Unsweetened Chocolate chips for topping ,Mixing Bowls Loaf Pan  ,"Preheat oven to 350 PREPARE THE DRY INGREDIENTS Combine tiger nut flour, cocoa powder, baking soda, baking powder, and salt. Break up any clumps of tiger nut flour. PREPARE THE WET INGREDIENTS In another bowl combine mashed banana, date syrup, vanilla, and apple cider vinegar. Combine wet and dry ingredients and mix until just combined. BAKE IT Add batter to a parchment-lined loaf pan. Top with chocolate chips. Bake for 25-30 minutes or until a toothpick inserted in the middle comes out clean. Allow to cool before cutting. Enjoy! "
Banana Raisin Bread ,Prep+Cooking time: 1-hour Yields: 1 loaf,3 very ripe bananas ¼ cup almond butter ⅓ cup plant milk 1 tbsp baking powder 1 tbsp apple cider vinegar 1 tbsp cinnamon 1 ¾ cup almond flour ¼ cup flax meal ½ cup raisins ,Food Processor Mixing Bowl Loaf Pan ,"Preheat oven to 350 Line loaf pan with parchment paper PREPARE THE BATTER Mash or blend bananas. In a food processor or blender, combine the bananas, almond butter, dairy-free milk, apple cider vinegar, and cinnamon and mix or process until combined. ADD THE DRY INGREDIENTS Add baking powder, almond flour, and flax meal, and mix until just combined. Fold in raisins. Spread evenly in pan. Top with additional raisins and cinnamon as desired. BAKE IT Bake 35-45 minutes until light golden brown and firm when lightly pressed in the center. Allow to cool for 15 minutes or more before cutting. Enjoy! "
Cardamom-Pistachio Cake w/ Date Caramel Glaze,Prep+Cooking time: 1-hour Yields: 1 9-inch cake,Wet: 1 cup applesauce 2 flax eggs (2 tbsp ground flax mixed with 4 tbsp water) ⅔ cup date syrup ½ cup plant milk 1 tbsp apple cider vinegar 1 tsp vanilla extract 1 tsp almond extract Dry: 2 ¼ cups oat flour 1 cup almond flour 1 cup ground pistachios ( You can blend from whole pistachios) 2 tsp baking powder ½ tsp baking soda 1/4 tsp salt 1 ½ tsp cardamom ½ cup whole or roughly chopped pistachios Date Glaze: 4 dates ½ cup water ½ tsp vanilla ,Mixing Bowls 9-inch Cake Pan High-Speed Blender ,"Preheat oven to 350. Line a 9” pan with parchment paper. COMBINE THE WET INGREDIENTS To a mixing bowl add oat flour, almond flour, ground pistachios, baking powder, baking soda, salt, and cardamom. Mix to combine. COMBINE WET INGREDIENTS In a separate bowl combine applesauce, date syrup, flax eggs, apple cider vinegar, vanilla extract, and almond extract. Mix to combine. COMBINE WET AND DRY INGREDIENTS Pour the wet ingredients into the dry ingredients and mix to combine. GET READY TO BAKE Pour batter into the prepared pan and bake for 25-30 minutes, or until a toothpick inserted in the center comes out clean.  PREPARE THE GLAZE Combine ingredients in a blender and blend until smooth. FINISH THE CAKE Allow to cool on the rack. Add glaze and chopped pistachios.\ Enjoy! "
Pumpkin Cake w/ Cream Cheese Frosting,Prep+Cooking time: 1 hour Yields: 1 9-inch cake,Wet: 1 cup pumpkin puree 2 flax eggs (2 tbsp ground flax mixed with 4 tbsp water) ⅔ cup date syrup ½ cup plant milk 1 tbsp apple cider vinegar 1 ½ tsp vanilla Dry: 2 ¼ cup oat flour 1 ½ cup almond flour 2 tsp baking powder ½ tsp baking soda 1/4 tsp salt 1 ½ tsp cinnamon ½ tsp ground ginger ⅛ tsp cloves ¼ tsp nutmeg Cream Cheese Frosting 1 ½ cup raw cashews (soaked for min.2 hrs) ½ cup coconut milk 2 tbsp lemon juice 4-5 soft pitted Medjool dates 1 tsp vanilla extract ,Mixing Bowls 9-inch Cake Pan High-Speed Blender ,"Preheat oven to 350. Line a 9” pan with parchment paper. COMBINE THE WET INGREDIENTS To a mixing bowl add oat flour, almond flour,  baking powder, baking soda, and salt. Mix to combine. COMBINE WET INGREDIENTS In a separate bowl combine pumpkin puree, date syrup, flax eggs, apple cider vinegar, and vanilla extract. Mix to combine. COMBINE WET AND DRY INGREDIENTS Pour the wet ingredients into the dry ingredients and mix to combine. GET READY TO BAKE Pour batter into the prepared pan and bake for 25-30 minutes, or until a toothpick inserted in the center comes out clean.  PREPARE THE FROSTING Combine ingredients in a blender and blend until smooth. FINISH THE CAKE Once the cake has cooled completely, spread frosting onto the cake, and sprinkle with cinnamon. Enjoy! "
Pineapple Upside-Down Cake,Prep+Cooking time: 1-hour Yields: 1 8-inch cake,1 pineapple or 1 can of pineapple Frozen cherries 2 cups of pineapple juice reduced to ¾ cup 1 ⅓ cup oat flour 1 cup almond flour 1 ¾ tsp baking powder ¾ tsp baking soda ½ cup packed soft dates ( approx. 10 Medjool dates) 1 tbsp apple cider vinegar 2 tsp vanilla 1 cup coconut milk  ⅛ cup water ,Mixing Bowls Saucepan 8-inch cake pan ,"REDUCE THE PINEAPPLE JUICE Add pineapple juice to a small saucepan and simmer on medium-low until reduced to ¾ cup. PREPARE THE PINEAPPLE BASE Place pieces of pineapple and frozen cherries in the desired pattern at the base of a parchment lined 7-8 inch pan. Pour reduced pineapple juice over top. COMBINE DRY INGREDIENTS In a bowl combine oat flour, almond flour, baking powder, and baking soda. Whisk to combine. COMBINE WET INGREDIENTS In a blender pitcher or cup combine dates, coconut milk, water, vanilla, and apple cider vinegar. Blend until smooth. COMBINE WET AND DRY INGREDIENTS Combine wet and dry ingredients. Gently spoon the mixture over top of the pineapple base. BAKE THE CAKE Bake at 350 F for 25-35 minutes or until the toothpick inserted in the middle comes out clean. Let cool for 10 minutes before turning out of the pan. Enjoy! "
Cranberry-Blueberry Bread,Prep+Cooking time: 1-hour 15-mins Yields: 1 loaf,Dry Ingredients: 2 cups oat flour (I purchase organic oats that are third-party certified glyphosate free.) 2 ½ tsp baking powder ¾ tsp cinnamon Wet Ingredients: 1 cup soft Medjool dates 1 ½ cups water ½ cup freshly squeezed orange juice 1 tbsp orange zest ⅓ cup applesauce ½ cup cranberries ½ cup blueberries 1 ½ tsp vanilla GLAZE 2 tbsp orange juice Remaining ½ cup of date paste made previously ,High-Speed Blender Mixing Bowls Loaf Pan ,"Preheat oven to 350 and line the loaf pan with parchment paper DRY INGREDIENTS Combine dry ingredients in a large bowl. WET INGREDIENTS Add dates and water into a high-speed blender and blend until smooth.  COMBINE WET AND DRY INGREDIENTS Add 1 ½ cups of previously blended date paste to your dry ingredients. Continue to add orange juice, orange zest, applesauce, and vanilla to your dry ingredients and mix until combined. ADD THE BERRIES Fold in cranberries and blueberries. BAKE THE LOAF Bake for 45-55 minutes or until a toothpick inserted in the center comes out clean. Let cool for 10 minutes before removing from the pan. PREPARE THE GLAZE Make the glaze by combining 2 tbsp of orange juice with the remaining half a cup of date paste. Mix to combine Drizzle glaze over the loaf. Enjoy! "
Brownie Pudding Cake,Prep+Cooking time: 1 hour Yields: 9-inch Cake,Brownie Cake: 1 ½ cups of black beans 1 cup of date syrup ⅓ cup nut butter ½ cup cocoa powder 1.5 tsp vanilla ¾ cup rolled oats 1 tsp baking powder 3/4 tsp baking soda Pinch of salt Chocolate Pudding: 2 cups raw cashews ( soaked for min. 2 hrs) ¾ - 1 cup nut milk 1 tsp vanilla 8 soft Medjool dates ¼ cup cocoa Cream Layer: 2 cups coconut cream (solids only) ¼ cups date syrup 1 tsp vanilla ,Food Processor Mixing Bowls Hand Mixer High-Speed Blender ,"Preheat oven to 350F PREPARE THE BROWNIE Add black beans, oats, date syrup, cocoa powder, vanilla, and almond butter to the food processor. Process until smooth. Add baking powder and baking soda. Process until just combined. Add batter to a parchment-lined 9-inch round pan. Bake for 25-35 minutes or until a toothpick inserted in the middle comes out clean. PREPARE THE CHOCOLATE PUDDING Add all ingredients to a high-speed blender and blend until smooth. Let chill for 30 minutes. PREPARE CREAM TOPPING Chill ingredients, bowl and mixer. Add coconut cream removed from the top of chilled coconut milk (do not use the remaining liquid) to a chilled bowl and whip until creamy. Add vanilla and date syrup, and whip until fluffy. ASSEMBLE THE CAKE Remove the brownie cake from the pan and place on a flat serving plate. Top brownie cake with a thick layer of chocolate pudding. Top pudding layer with whipped coconut cream. Dust with some cocoa powder if desired. Enjoy! WFPB PROTEIN DRINKS "
Piña Colada Protein Drink,Prep+Cooking time: 10 minutes Servings: 1,2 cups frozen pineapple chunks 1 cup coconut milk 4 tbsp hemp seeds 4 tsp ground chia ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Strawberry-Peach Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,½ heaping cup of frozen or fresh strawberries ½ heaping cup of frozen or fresh peaches ½ tsp vanilla 4 tbsp hemp hearts 4 tsp ground chia or ground golden flax 1-2 dates 1 cup plant milk ½ cup ice (optional if using fresh fruit) ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Vanilla Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,1 ¼ tsp vanilla bean powder or 2 tsp vanilla extract 4 tbsp hemp hearts/seeds 4 tsp ground chia or ground golden flax  2-3 pitted Medjool dates 1 ¼ cup plant milk ½ cup ice (optional) ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
 Raspberry- Vanilla Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,1 heaping cup of frozen or fresh raspberries 1 cup plant milk 1 tsp vanilla 4 tbsp hemp 4 tsp ground chia 2-3 dates ½ ice (optional if using fresh berries) ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Key Lime-Coconut Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,1 cup coconut milk 4 tbsp hemp seeds 3 tsp ground chia ½ tsp vanilla 1 tsp key lime zest  Squeeze of key lime juice 1 cup ice 4 dates* ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Chocolate Protein Milkshake,Prep+Cooking time: 10 minutes Servings: 1,3 tbsp unsweetened cocoa powder 1/2 an avocado ** 3 tbsp hemp seeds 2 tsp ground chia 1 tbsp nut or seed butter for nut-free 2-4 dates depending on how sweet you want it 1 cup plant milk 1/2-1 cup ice (optional) ** To replace avocado choose use an extra 1 tbsp of nut or seed butter of your choice. ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Strawberry Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,1 heaping cup of chopped strawberries ½ tsp vanilla 3 tbsp hemp hearts 2 tsp ground golden flax 2 tsp ground chia 3 dates 1 cup plant milk ½ cup ice (optional) ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! DRINKS 
Pear-Mint-Lime Smoothie,Prep+Cooking time: 10  minutes Servings: 1,2 frozen pears 1/4 lime peeled 1/4 cup packed fresh mint 1/2-3/4 cup plant milk ,High-Speed Blender OR Kuvings REVO830 with smoothie attachment ,Combine all your ingredients in your blender or  Kuvings Juicer using the smoothies attachment. Enjoy! 
Papaya-Banana Smoothie,Prep+Cooking time: 10  minutes Servings: 1,Half a medium chilled papaya (seeded and peeled) 1 banana (peeled) ½ lime (peeled) ¾ cup of chilled plant milk ,High-Speed Blender OR Kuvings REVO830 with smoothie attachment ,Combine all your ingredients in your blender or  Kuvings Juicer using the smoothies attachment. Enjoy! 
Sweet Potato Pie Latte,Prep+Cooking time: 10 minutes Servings: 2,1 ½ cups plant milk  ¼ - ½ cup mashed sweet potato (depending on how thick you like it) 3 medjool dates (pitted) ¼ tsp vanilla extract ½ tsp cinnamon Pinch of ground cloves Pinch of salt (optional) ,Saucepan  High-Speed Blender ,"FOR COLD VERSION Add all the ingredients to a high-speed blender. Blend until smooth. Pour over some ice. Sprinkle some extra cinnamon over the top. FOR HOT VERSION Add all the ingredients to a high-speed blender. Blend until smooth. Add mixture to a saucepan and heat. Pour into your favorite mug, and sprinkle some extra cinnamon over the top. Enjoy! "
Creamy Vegan Chai,Prep+Cooking time: 30  minutes Servings: 2,1 cup water 6 green cardamom pods (lightly bruised/cracked) 3-4 whole cloves 1-2 star anis 6 black peppercorns 3 slices of ginger ½ stick cinnamon 1-2 organic black tea bags or omit for caffeine free 1 cup of plant milk 1 tbsp of tahini 2-3 dates ,High-Speed Blender Saucepan ,"PREPARE THE CHAI BASE Bring water to a light boil and add whole spices. Allow to simmer until reduced to half. Add black tea bags for a few minutes before you’re done simmering. Remove from heat and cover. FOR COLD VERSION Combine all the ingredients in a high-speed blender. Pour over some ice. Sprinkle some extra cinnamon over top. FOR HOT VERSION Combine all the ingredients in a high-speed blender. Blend until smooth. Combine milk mixture and chai base in a saucepan to heat. Pour into your favorite mug, and sprinkle some extra cinnamon over top. Enjoy! "
Ginger-Cranberry-Apple Cider,Prep+Cooking time: 30  minutes Servings: 2,2 green apples 2 red apples 1 cup cranberries 1-inch fresh ginger ¾ water ½ cinnamon stick 2 whole cloves ,Juicer Saucepan ,"PREPARE THE SPICES Add water, cinnamon, and cloves to a small pot and bring to a simmer. Allow to gently simmer for 10-15 minutes or until water is reduced to half. JUICE YOUR FRUITS  Juice apples, cranberries, and ginger.  FINISH AND SERVE Add fresh juice to the spiced water mixture. Bring to a simmer. Serve and Enjoy! "
Egg Nog,Prep+Cooking time: 15  minutes Servings: 3,2 cups plant milk 1 ½ cups cashews soaked for min. 2 hours 7 dates 1/4 tsp cinnamon 1/4 tsp nutmeg ¼ tsp turmeric 1 tsp vanilla Pinch cardamom (optional) ,High-Speed Blender ,"BLEND AND SERVE Combine all ingredients in a high-speed blender. Pour over ice. FOR HOT VERSION You can heat it up. When it’s heated it will thicken, so adjust it to your desired thickness using additional plant milk. "
Pumpkin Spice Latte,Prep+Cooking time: 15 minutes Servings: 2,1 ½ cups plant milk 1/3 cup pumpkin purée 3 medjool dates (pitted) ¼ tsp cinnamon ¼ tsp ginger powder Pinch of ground cloves ,Saucepan  High-Speed Blender ,"FOR COLD VERSION Add all the ingredients to a high-speed blender. Blend until smooth. Pour over some ice. Sprinkle some extra cinnamon over the top. FOR HOT VERSION Add all the ingredients to a high-speed blender. Blend until smooth. Add mixture to a saucepan and heat. Pour into your favorite mug, and sprinkle some extra cinnamon over the top. Enjoy! "
Golden Milk,Prep+Cooking time: 20 minutes Servings: 2,1 ½ cups plant milk ½ tsp ground turmeric ¼ tsp grated ginger* ¼ tsp cinnamon Pinch black pepper 1-2 dates 1 tbsp nut or seed butter Note:  ⅛ tsp ginger powder can be used to substitute for the fresh ginger. ,High-Speed Blender Saucepan ,"FOR COLD VERSION Combine all the ingredients in a high-speed blender. Pour over some ice. Sprinkle some extra cinnamon over top. FOR HOT VERSION Combine all the ingredients in a high-speed blender. Blend until smooth. Combine milk mixture and chai base in a saucepan to heat. Pour into your favorite mug, and sprinkle some extra cinnamon over top. Enjoy! JUICES "
Purple Power Juice,Prep+Cooking time: 10  minutes Servings: 2,1 medium purple cabbage 1 large English cucumber 1/2 pint blueberries 1/2 pint blackberries 1 apple 1 lime ,Juicer ,JUICE AND SERVE Process the ingredients through a juicer. Enjoy! 
Juicy Sunset,Prep+Cooking time: 10 minutes Servings: 2,2 carrots 2 oranges ½ pint raspberries for juicing Handful of raspberries for garnishing ,Juicer ,JUICE AND SERVE Process the ingredients through a juicer. Add whole raspberries to a cup and add juice. Enjoy! 
Digestive Juice,Prep+Cooking time: 10 minutes Servings: 2,½ of a pineapple 1 cup cranberries 1-inch fresh ginger 1-inch fresh turmeric Pinch of black pepper ,Juicer ,JUICE AND SERVE Process the ingredients through a juicer. Add a few frozen cranberries to a cup and add your juice. Enjoy! 
Immunity Booster Juice,Prep+Cooking time: 10 minutes  Servings: 2,1 carrot 2 oranges ½ lemon 1 cup of fresh raspberries. 2 inches turmeric 2 inches ginger Pinch cayenne Pinch black pepper ,Juicer ,JUICE AND SERVE Peel oranges and lemons. Pass all your ingredients through your juicer. Add a pinch of cayenne and black pepper. Enjoy! 
 Green Energy Juice,Prep+Cooking time: 10 minutes Servings: 2,5 large Lacinato kale 1 granny smith apple 3 stalks of celery 1 lemon ¼ pineapple 1-inch ginger ,Juicer ,JUICE AND SERVE Process the ingredients through a juicer. Enjoy! 
Golden Juice,Prep+Cooking time: 10 minutes Servings: 2,Half a pineapple 3 small golden beets 1 lemon 2 inches ginger root 2 inches turmeric root 1-pint golden berries 2 small yellow peppers ,Juicer ,JUICE AND SERVE Peel oranges and lemons. Pass all your ingredients through your juicer. Add a pinch of cayenne and black pepper. Enjoy! STAPLES 
Cheese Sauce (NF option),Prep+Cooking time: 10 mins  Yields: 1.5 cups/ 4 servings,1 cup raw cashews (soaked min. 2 hours) 2 tbsp nutritional yeast 1/4 tsp salt 1/4 tsp pepper (optional 1/4 tsp garlic granules (optional 1/2 cup water ½ tbsp lemon juice Nut-Free Option- ½ cup cannellini beans ½ cup hemp or sunflower seeds ,High-Speed Blender ,Combine all the ingredients in a high-speed blender. Blend until smooth. 
Date Paste,Prep+Cook time: 5 mins   Yields: 1.5 cups  ,12 soft pitted Medjool dates 2/3 cup water ,High-Speed Blender ,"Combine water and dates in a high-speed blender. Blend until smooth. Add to an airtight jar and refrigerate. I have kept this date paste in the fridge for up to a week. If your dates are somewhat dry you can let them sit in the water for an hour or so before blending, but a high-speed blender usually gets the date paste nice and smooth. "
Veggie Ground (NF option),Prep+Cook time: 35 mins   Yields: 10 cups  ,1 medium size head of cauliflower 2 medium size carrots 1 onion 3 cloves of garlic 16 oz portobello mushrooms (**) 2 tbsp Italian seasoning 1 tbsp paprika 2 tsp sage 2 tsp garlic granules 1 tsp thyme 1 tsp oregano 2 tsp cumin powder 1.5 cups walnuts (*) 3 tbsp tomato paste 3 tsp salt OR TO YOUR TASTE * For nut free version you may use sunflower or pumpkin seeds. ** For mushroom free use the equivalent in jackfruit and process it into smaller pieces. ,Knife Food Processor or Grater Large Skillet or Saute Pan COOKING TIPS (Generated by you guys?) ,"CHOP IT UP! Roughly chop vegetables to fit them in your food processor. Coarsely chop all vegetables and garlic in a food processor. Mushrooms can be made even coarser for a more meaty texture (This will need to be done in batches). Coarsely chop walnuts along with tomato paste until combined. COOK IT UP! Add 1 tbsp of water or sodium-free, oil-free vegetable broth to a heated pan. Add vegetables and mushrooms and continue to cook on medium-high until all the water releases (10-15 minutes) When most of the water has cooked out add seasoning. Cook on medium for another 10 minutes, until all the water fully evaporates. Turn off the heat and add the walnut and tomato paste mixture. Mix thoroughly to combine. Add to your dish of choice. Enjoy! Storage: Keeps well in the fridge for up to 5 days or in the freezer for up to 3 months. "
Sour Cream,Prep+Cooking time: 15  minutes  Yields: 2 cups,1 ½ cups raw cashews (soaked for a minimum of 2 hours) ¾ cup water 2 tbsp lemon juice 2 tsp apple cider vinegar ½ tsp salt ,High-Speed Blender ,Add all the ingredients in a high-speed blender. Blend until smooth. Chill in refrigerator for 2+ hours. Enjoy! 
Ricotta Cheese,Prep+Cooking time: 15  minutes  Yields: 2 cups,2 cups raw cashews  (Soaked for min. 2 hrs)* ½ cup plant milk 1 tsp salt A squeeze of lemon juice Note: You may use soaked almonds ( 4-6 hours) Remove almond skins after soaking. ,Food Processor ,"Soak nuts for 4-6 hours in water. To reduce soaking time use boiling water. Add soaked cashews, lemon juice, salt, and plant milk to a food processor. Pulse mixture. Periodically scrape the sides of the container. Pulse until desired creaminess and consistency are reached. If needed add extra plant milk in small increments (approx. 1-2 tablespoons at a time) Use in your favorite stuffed vegetables or pasta. Enjoy! "
Date Paste,Prep+Cooking time: 10  minutes  Yields: 1 cup,12 soft pitted Medjool dates 2/3 cup water ,High-Speed Blender ,"Combine water and dates in a high-speed blender. Blend until smooth. Add to an airtight jar and refrigerate. *I have kept this date paste in the fridge for up to a week. **If your dates are somewhat dry you can let them sit in the water for an hour or so before blending, but a high-speed blender usually gets the date paste nice and smooth. *** You can use other varieties of dates but will need to adjust the number of dates accordingly. "
Almond Flour Pie Crust,Prep+Cooking time: 45  minutes  Servings: 1 9’ Pie Crust,1 ¼ cup fine almond flour ⅓ cup arrowroot powder 2 tbsp ground flax 5 tbsp water 1/4 tsp salt or to your taste INSTRUCTIONS ,-1,"Mix ground flax and water and set aside. Combine almond flour, baking powder, arrowroot, and salt together in a bowl.  Add the flax mixture and mix with a spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough.  Place the ball of dough between 2 sheets of parchment paper to roll. Roll to fit a 9-inch pie pan.  Poke the crust with a fork, cover and place it in the freezer for 20 minutes.  In the meanwhile, preheat the oven to 400 F. Cover the pie crust with parchment and use pie weights or other heat-safe material to weigh the crust down. Bake for 15 minutes.  Add the desired filling and bake at 375 until the crust is golden brown. ** For prebaked pie crust, remove weight and parchment after the first 15 minutes and continue to cook for an additional 5-10 minutes until the crust is lightly golden. "
Mayo (NF Option),Prep+Cooking time: 10 mins  Yields: 1.5 cups/ 6 servings,1 cup cashews ( soaked for at least 2 hrs) ¼ - ½ cup water 1 tbsp lemon juice 1 tbsp apple cider vinegar 1 tsp Dijon mustard 1 tsp garlic granules ½ tsp onion powder ¼ -½ tsp salt ,High-Speed Blender ,Place all the ingredients in a high-speed blender. Add water gradually. Blend until mayo-like consistency is achieved. Store in the fridge for up to 7 days. BATCH 2 (48) 
Raw Carrot Cupcake,Prep+Cooking time: 40 minutes  Servings: 6 Cupcakes,RAW CAKE  1 cup shredded carrot 1 cup walnuts 1 cup dates ¾ cups shredded coconut ⅓ cup plant milk 1 ½ tsp cinnamon ¼ tsp nutmeg ½ tsp ginger ¼ cup almond flour Vanilla Frosting 1 cup soaked cashews ½ cup plant milk 4 soft Medjool dates  1 tsp vanilla  Pinch salt ,Food processor High-Speed Blender ,PREPARE RAW CRUST Process raw carrot cake ingredients. Slowly add milk just until blended. Press into 6 cupcake cups. Make a dip in the center of your carrot cups. PREPARE FROSTING Combine frosting ingredients in a high-speed blender and blend until smooth. FINISH AND SERVE Add vanilla icing to the dipped center. Garnish with walnuts and some freshly ground nutmeg. Freeze for 2-3 hours. Allow to thaw for 10 minutes before eating. Enjoy! 
 Lemon- Raspberry Raw Cupcakes,Prep+Cooking time: 45 minutes  Servings: 12 Cupcakes,Raw Cake: 2 cups coconut 1 cup coconut flour 1 cup almond flour 18 dates 1 cup cashews 1/3 cup lemon zest ½ cup fresh lemon juice 2 tsp vanilla ¼ tsp salt Raspberry Cream Cheese Frosting: 1.5 cups soaked cashews 1 cup blended frozen raspberries 6-8 dates 2 tbsp lemon juice ,COOKING TOOLS Food processor High-Speed Blender ,PREPARE RAW CRUST Process raw lemon cake ingredients until sticky. Press into 12 cupcake cups. Make a dip in the center of your cupcakes. PREPARE FROSTING Combine frosting ingredients in a high-speed blender and blend until smooth. FINISH AND SERVE Add raspberry icing to the dipped center. Optionally garnish with poppy seeds. Freeze for 2-3 hours. Allow to thaw for 10 minutes before eating. Enjoy! 
Chocolate-Vanilla Cream Bars,Prep+Cooking time: 1 hour 15 minutes  Servings: 8x8-inch pan,2 cups nuts 8 pitted Medjool dates ¼ cup cocoa powder 1 tsp vanilla Pinch salt Vanilla Layer 2 cups raw cashews (soaked for min. 2 hours) 6 dates 2 tsp vanilla ¾-1 cup plant milk 2 tsp psyllium husks Chocolate Layer 1.5 cups (plant milk (see note if not using 100% cacao/cocoa chips) ½  cup (6-7) pitted Medjool dates 6oz unsweetened chocolate or cacao bars or chips ,Food Processor High-Speed Blender 8x8-inch pan Parchment paper Double boiler ,"PREPARE THE CRUST Add all the crust ingredients to the food processor and process to a semi-fine crumb. Press into 8x8-inch parchment-lined pan. PREPARE VANILLA LAYER Combine all the ingredients in a high-speed blender. Blend until smooth. Add the vanilla layer on top of the crust. Put the pan in the freezer while preparing the chocolate layer. PREPARE CHOCOLATE LAYER Combine dates and plant milk in a high-speed blender and blend until smooth. Place a glass or stainless steel mixing bowl over the top of a small saucepan filled ⅓ with water. Add chocolate chips to the bowl. Heat the pot on medium. Mix chocolate as it melts. Once the chocolate is completely melted, add to the blender with the date and plant milk and blend until smooth and combined. Remove the pan from the freezer and pour the chocolate layer over top. Return the pan to the freezer for 2 hours. FINISH AND SERVE Remove the pan and cut into squares. Enjoy! "
